RatingID,MovieID,UserID,RatingValue,Comment,RatingDate
16,25,156,2.7,Centers on childhood memories and family bonds. Memorable scenes leave a lasting impact.,2018-08-20
17,261,269,5.6,Amazes viewers with its visual effects. A thrilling production filled with suspenseful moments.,1990-12-30
18,235,96,7.4,Offers a unique interpretation of historical events. Amazes viewers with its visual effects.,2021-06-26
19,254,106,6.8,The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.,2018-08-15
20,106,60,1.0,Centers on childhood memories and family bonds. A must-watch for its gripping script and powerful performances. Stands out with its original script and captivating storyline.,2007-01-22
21,200,117,9.3,The plot tells a story where love and drama intertwine. Aesthetically and artistically successful film. Features powerful dialogues and cleverly constructed plot. Worth watching for its emotional depth and character development. Centers on childhood memories and family bonds.,2023-03-03
22,133,217,2.8,Memorable scenes leave a lasting impact. Offers a unique interpretation of historical events. The film takes the audience on a deep adventure. Interpersonal relationships are impressively portrayed.,2006-10-15
23,143,98,3.3,Notable for its color palette and cinematography. Offers a unique interpretation of historical events.,2024-09-26
24,203,22,7.9,Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Worth watching for its emotional depth and character development.,2025-08-11
25,37,59,2.4,Stands out with fast-paced action scenes. Stands out with its original script and captivating storyline. Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances. A story blending fantasy elements with the real world.,1989-03-03
26,132,204,5.8,Elegantly addresses the relationship between nature and humanity. Enriched with cultural elements and historical references. A thrilling production filled with suspenseful moments. Successfully reflects local cultural motifs.,2002-07-21
27,62,203,9.0,Stands out with fast-paced action scenes. Focuses on characters with psychological depth. A striking film with strong social messages.,2023-11-30
28,103,66,10.0,A striking film with strong social messages. A thrilling production filled with suspenseful moments. Worth watching for its emotional depth and character development. The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.,2009-03-31
29,95,43,8.3,Memorable scenes leave a lasting impact. Features powerful dialogues and cleverly constructed plot. Its mysterious atmosphere captivates the audience.,2025-10-12
30,225,74,6.4,Centers on childhood memories and family bonds. Its fast pace and surprising ending astonish viewers.,2021-10-30
31,97,108,1.4,Aesthetically and artistically successful film. A must-watch for its gripping script and powerful performances.,2006-07-10
32,129,90,5.2,Interpersonal relationships are impressively portrayed. Aesthetically and artistically successful film.,2013-09-15
33,150,259,3.0,A must-watch for its gripping script and powerful performances. Centers on childhood memories and family bonds. A story blending fantasy elements with the real world.,1988-11-08
34,225,13,1.6,Features powerful dialogues and cleverly constructed plot. Its fast pace and surprising ending astonish viewers. A production that will be remembered in cinema history.,2021-10-05
35,286,83,5.9,The plot tells a story where love and drama intertwine. A thrilling production filled with suspenseful moments. Centers on childhood memories and family bonds. Stands out with fast-paced action scenes.,2008-06-06
36,210,266,1.2,A story blending fantasy elements with the real world. A must-watch for its gripping script and powerful performances. Its mysterious atmosphere captivates the audience.,2023-12-29
37,20,74,7.2,Interpersonal relationships are impressively portrayed. The film takes the audience on a deep adventure.,2011-05-01
38,289,30,7.9,Worth watching for its emotional depth and character development. Successfully reflects local cultural motifs.,2011-05-21
39,19,289,1.7,Elegantly addresses the relationship between nature and humanity. Notable for its color palette and cinematography. Interpersonal relationships are impressively portrayed. A production that will be remembered in cinema history. Centers on childhood memories and family bonds.,2025-02-12
40,199,231,7.1,Its mysterious atmosphere captivates the audience. Notable for its color palette and cinematography. Stands out with excellent music and set design. A striking film with strong social messages.,2020-08-31
41,79,233,8.9,Aesthetically and artistically successful film. A production that will be remembered in cinema history. Notable for its color palette and cinematography.,2024-02-16
42,90,199,8.9,A story blending fantasy elements with the real world. The film takes the audience on a deep adventure. Memorable scenes leave a lasting impact. A production that will be remembered in cinema history.,2019-10-09
43,74,22,4.7,Interpersonal relationships are impressively portrayed. Aesthetically and artistically successful film. Notable for its color palette and cinematography.,2007-08-19
44,181,107,4.8,Stands out with excellent music and set design. A story blending fantasy elements with the real world. Interpersonal relationships are impressively portrayed. Its mysterious atmosphere captivates the audience. A must-watch for its gripping script and powerful performances.,2015-03-16
45,167,205,7.5,Worth watching for its emotional depth and character development. Amazes viewers with its visual effects. Offers a unique interpretation of historical events.,2003-12-21
46,98,292,9.5,Stands out with excellent music and set design. Focuses on characters with psychological depth. Successfully reflects local cultural motifs. Memorable scenes leave a lasting impact.,2012-05-13
47,192,158,4.5,A thrilling production filled with suspenseful moments. Focuses on characters with psychological depth. Notable for its color palette and cinematography. Stands out with excellent music and set design. A production that will be remembered in cinema history.,1994-07-31
48,212,27,3.0,Centers on childhood memories and family bonds. Interpersonal relationships are impressively portrayed. Its fast pace and surprising ending astonish viewers.,2016-06-21
49,222,93,1.2,Interpersonal relationships are impressively portrayed. Elegantly addresses the relationship between nature and humanity. Centers on childhood memories and family bonds.,2004-11-14
50,89,140,7.9,Elegantly addresses the relationship between nature and humanity. Amazes viewers with its visual effects. Aesthetically and artistically successful film. Memorable scenes leave a lasting impact. A must-watch for its gripping script and powerful performances.,2024-04-09
51,240,126,2.2,A must-watch for its gripping script and powerful performances. Features powerful dialogues and cleverly constructed plot. Successfully reflects local cultural motifs. Its fast pace and surprising ending astonish viewers. A story blending fantasy elements with the real world.,2025-07-25
52,19,50,1.8,The plot tells a story where love and drama intertwine. A must-watch for its gripping script and powerful performances.,2019-09-25
53,47,161,2.8,Amazes viewers with its visual effects. A production that will be remembered in cinema history. Stands out with fast-paced action scenes.,2010-01-01
54,186,162,9.1,A striking film with strong social messages. A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events. Stands out with its original script and captivating storyline. A production that will be remembered in cinema history.,2008-03-04
55,156,52,6.1,Stands out with its original script and captivating storyline. Memorable scenes leave a lasting impact. A thrilling production filled with suspenseful moments.,2024-12-28
56,273,210,6.1,Offers a unique interpretation of historical events. Enriched with cultural elements and historical references. Worth watching for its emotional depth and character development. A thrilling production filled with suspenseful moments. Centers on childhood memories and family bonds.,2008-07-20
57,76,228,7.8,Interpersonal relationships are impressively portrayed. A striking film with strong social messages. Stands out with its original script and captivating storyline.,2016-03-06
58,11,186,6.3,Stands out with excellent music and set design. The film takes the audience on a deep adventure. A striking film with strong social messages.,2016-07-23
59,291,177,4.1,Its mysterious atmosphere captivates the audience. Stands out with fast-paced action scenes.,2024-11-11
60,91,70,7.1,A thrilling production filled with suspenseful moments. Centers on childhood memories and family bonds. Amazes viewers with its visual effects.,2024-09-06
61,165,150,4.2,The film takes the audience on a deep adventure. Features powerful dialogues and cleverly constructed plot. Elegantly addresses the relationship between nature and humanity. Memorable scenes leave a lasting impact. Stands out with its original script and captivating storyline.,1999-09-23
62,187,130,5.6,A striking film with strong social messages. A must-watch for its gripping script and powerful performances.,1992-08-12
63,86,27,7.3,Stands out with excellent music and set design. Memorable scenes leave a lasting impact. A must-watch for its gripping script and powerful performances. The plot tells a story where love and drama intertwine.,2011-09-18
64,140,235,4.0,Aesthetically and artistically successful film. Features powerful dialogues and cleverly constructed plot.,2000-08-07
65,6,294,3.7,A striking film with strong social messages. Interpersonal relationships are impressively portrayed. The plot tells a story where love and drama intertwine.,2004-06-06
66,139,193,4.3,Memorable scenes leave a lasting impact. Offers a unique interpretation of historical events. A must-watch for its gripping script and powerful performances. Aesthetically and artistically successful film. Its mysterious atmosphere captivates the audience.,2016-01-22
67,134,283,5.4,Stands out with fast-paced action scenes. Stands out with excellent music and set design. Centers on childhood memories and family bonds. A must-watch for its gripping script and powerful performances.,1990-08-27
68,261,59,8.3,Worth watching for its emotional depth and character development. Stands out with fast-paced action scenes.,1977-01-23
69,91,192,2.4,Successfully reflects local cultural motifs. Stands out with fast-paced action scenes. The film takes the audience on a deep adventure.,2023-05-14
70,7,175,2.4,Notable for its color palette and cinematography. A must-watch for its gripping script and powerful performances. Centers on childhood memories and family bonds. A thrilling production filled with suspenseful moments. Features powerful dialogues and cleverly constructed plot.,2006-02-27
71,63,29,2.8,Stands out with its original script and captivating storyline. Stands out with fast-paced action scenes.,2007-03-23
72,47,2,8.1,Amazes viewers with its visual effects. The plot tells a story where love and drama intertwine. Offers a unique interpretation of historical events.,2016-11-04
73,41,199,6.6,A striking film with strong social messages. Amazes viewers with its visual effects. Offers a unique interpretation of historical events.,2019-08-05
74,254,96,3.6,Stands out with excellent music and set design. Stands out with its original script and captivating storyline.,2014-01-18
75,260,4,2.6,Enriched with cultural elements and historical references. Aesthetically and artistically successful film. Focuses on characters with psychological depth.,1988-02-20
76,295,97,2.1,Amazes viewers with its visual effects. Stands out with its original script and captivating storyline.,2019-09-13
77,165,117,4.6,Features powerful dialogues and cleverly constructed plot. Memorable scenes leave a lasting impact. Its fast pace and surprising ending astonish viewers. Notable for its color palette and cinematography.,2003-04-15
78,147,112,3.3,A story blending fantasy elements with the real world. Worth watching for its emotional depth and character development. Its fast pace and surprising ending astonish viewers. The film takes the audience on a deep adventure.,2022-02-18
79,129,145,1.6,A striking film with strong social messages. Its mysterious atmosphere captivates the audience.,2005-03-27
80,31,221,7.1,The film takes the audience on a deep adventure. A story blending fantasy elements with the real world. Centers on childhood memories and family bonds. Stands out with fast-paced action scenes. A must-watch for its gripping script and powerful performances.,2020-11-23
81,186,34,3.4,Stands out with excellent music and set design. Its mysterious atmosphere captivates the audience. A story blending fantasy elements with the real world. A striking film with strong social messages.,2007-07-14
82,190,256,7.9,Focuses on characters with psychological depth. A story blending fantasy elements with the real world. Amazes viewers with its visual effects. Worth watching for its emotional depth and character development.,2017-09-25
83,88,22,4.2,Stands out with excellent music and set design. A must-watch for its gripping script and powerful performances. Interpersonal relationships are impressively portrayed. Aesthetically and artistically successful film. A story blending fantasy elements with the real world.,2015-12-29
84,198,215,8.9,Interpersonal relationships are impressively portrayed. Notable for its color palette and cinematography. Aesthetically and artistically successful film. Its mysterious atmosphere captivates the audience.,2017-04-11
85,8,223,8.4,Aesthetically and artistically successful film. Elegantly addresses the relationship between nature and humanity. Stands out with its original script and captivating storyline.,2025-06-09
86,112,49,4.5,Enriched with cultural elements and historical references. A must-watch for its gripping script and powerful performances. Amazes viewers with its visual effects.,2009-05-15
87,12,255,2.4,Worth watching for its emotional depth and character development. Amazes viewers with its visual effects. A striking film with strong social messages. Features powerful dialogues and cleverly constructed plot.,2016-10-18
88,256,222,9.5,A striking film with strong social messages. Centers on childhood memories and family bonds. The plot tells a story where love and drama intertwine.,2020-07-08
89,181,55,9.6,Features powerful dialogues and cleverly constructed plot. A production that will be remembered in cinema history. Aesthetically and artistically successful film. Worth watching for its emotional depth and character development. Its fast pace and surprising ending astonish viewers.,2000-01-02
90,254,111,5.4,Notable for its color palette and cinematography. Stands out with its original script and captivating storyline. A must-watch for its gripping script and powerful performances. A production that will be remembered in cinema history.,2011-09-05
91,220,63,2.2,A must-watch for its gripping script and powerful performances. A story blending fantasy elements with the real world. Its mysterious atmosphere captivates the audience. Offers a unique interpretation of historical events.,2023-06-09
92,66,190,9.7,The film takes the audience on a deep adventure. Stands out with excellent music and set design.,2017-05-11
93,190,214,2.9,Offers a unique interpretation of historical events. Worth watching for its emotional depth and character development. A must-watch for its gripping script and powerful performances. Notable for its color palette and cinematography.,2016-07-09
94,244,144,4.1,Offers a unique interpretation of historical events. Amazes viewers with its visual effects. Aesthetically and artistically successful film. A must-watch for its gripping script and powerful performances.,2009-11-24
95,294,118,8.3,A striking film with strong social messages. Elegantly addresses the relationship between nature and humanity. The film takes the audience on a deep adventure.,2022-08-28
96,161,262,4.5,Features powerful dialogues and cleverly constructed plot. A must-watch for its gripping script and powerful performances. Stands out with fast-paced action scenes.,2023-07-15
97,271,252,6.4,Stands out with fast-paced action scenes. Stands out with excellent music and set design. Interpersonal relationships are impressively portrayed. Successfully reflects local cultural motifs.,2016-10-02
98,99,142,4.3,A striking film with strong social messages. Worth watching for its emotional depth and character development.,1989-11-02
99,115,2,4.2,Focuses on characters with psychological depth. Aesthetically and artistically successful film. Enriched with cultural elements and historical references. A must-watch for its gripping script and powerful performances. A striking film with strong social messages.,2005-09-05
100,161,275,8.4,Features powerful dialogues and cleverly constructed plot. A thrilling production filled with suspenseful moments. A production that will be remembered in cinema history.,2024-02-14
101,32,100,8.2,Worth watching for its emotional depth and character development. Interpersonal relationships are impressively portrayed. Memorable scenes leave a lasting impact. Offers a unique interpretation of historical events.,2011-06-26
102,6,153,2.8,The film takes the audience on a deep adventure. Notable for its color palette and cinematography. Successfully reflects local cultural motifs. Memorable scenes leave a lasting impact.,2009-11-08
103,41,189,8.0,Stands out with excellent music and set design. Notable for its color palette and cinematography. Interpersonal relationships are impressively portrayed.,2021-03-19
104,285,81,5.0,A thrilling production filled with suspenseful moments. Enriched with cultural elements and historical references. Stands out with excellent music and set design. Amazes viewers with its visual effects.,2023-08-22
105,233,146,6.3,The film takes the audience on a deep adventure. A thrilling production filled with suspenseful moments. The plot tells a story where love and drama intertwine. A must-watch for its gripping script and powerful performances.,1994-08-12
106,283,245,2.3,Focuses on characters with psychological depth. The film takes the audience on a deep adventure. Notable for its color palette and cinematography. Memorable scenes leave a lasting impact. A must-watch for its gripping script and powerful performances.,2001-07-18
107,203,92,6.5,Notable for its color palette and cinematography. A production that will be remembered in cinema history.,2017-04-29
108,166,290,1.4,A story blending fantasy elements with the real world. Offers a unique interpretation of historical events.,2023-10-02
109,68,255,9.3,Aesthetically and artistically successful film. A thrilling production filled with suspenseful moments. Its fast pace and surprising ending astonish viewers.,1975-09-25
110,84,121,7.8,A must-watch for its gripping script and powerful performances. Stands out with fast-paced action scenes. Memorable scenes leave a lasting impact. Successfully reflects local cultural motifs.,2001-02-14
111,36,253,5.9,Notable for its color palette and cinematography. Interpersonal relationships are impressively portrayed. Offers a unique interpretation of historical events. Aesthetically and artistically successful film. Focuses on characters with psychological depth.,2011-12-08
112,46,107,2.4,Worth watching for its emotional depth and character development. The plot tells a story where love and drama intertwine. Notable for its color palette and cinematography. Centers on childhood memories and family bonds.,2013-03-28
113,286,13,6.8,A striking film with strong social messages. The plot tells a story where love and drama intertwine. Worth watching for its emotional depth and character development.,2004-05-09
114,120,79,5.5,Interpersonal relationships are impressively portrayed. Successfully reflects local cultural motifs. Notable for its color palette and cinematography. Centers on childhood memories and family bonds.,2016-02-02
115,203,10,7.9,The film takes the audience on a deep adventure. Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Memorable scenes leave a lasting impact. Focuses on characters with psychological depth.,2021-06-11
116,35,21,6.3,Worth watching for its emotional depth and character development. Elegantly addresses the relationship between nature and humanity. A striking film with strong social messages.,2009-12-23
117,4,179,1.7,Its fast pace and surprising ending astonish viewers. Stands out with its original script and captivating storyline. Interpersonal relationships are impressively portrayed. Amazes viewers with its visual effects.,2023-11-14
118,78,275,9.2,Enriched with cultural elements and historical references. Focuses on characters with psychological depth. Its mysterious atmosphere captivates the audience. Its fast pace and surprising ending astonish viewers.,2008-03-01
119,199,82,7.8,A must-watch for its gripping script and powerful performances. Amazes viewers with its visual effects. Enriched with cultural elements and historical references. Interpersonal relationships are impressively portrayed.,2020-04-05
120,62,147,1.3,Amazes viewers with its visual effects. Stands out with its original script and captivating storyline. A thrilling production filled with suspenseful moments. The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.,2007-04-05
121,55,106,7.8,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds. Amazes viewers with its visual effects. Elegantly addresses the relationship between nature and humanity.,1996-12-15
122,156,185,1.5,Elegantly addresses the relationship between nature and humanity. Enriched with cultural elements and historical references. Amazes viewers with its visual effects.,2009-10-21
123,262,13,1.1,A must-watch for its gripping script and powerful performances. Amazes viewers with its visual effects. A striking film with strong social messages.,2011-11-26
124,199,168,9.9,A striking film with strong social messages. Focuses on characters with psychological depth. Features powerful dialogues and cleverly constructed plot.,2023-02-19
125,147,128,6.5,The film takes the audience on a deep adventure. Features powerful dialogues and cleverly constructed plot.,2006-06-26
126,26,6,9.4,Stands out with excellent music and set design. Interpersonal relationships are impressively portrayed. A story blending fantasy elements with the real world. Elegantly addresses the relationship between nature and humanity.,2003-04-21
127,82,50,4.3,Memorable scenes leave a lasting impact. A story blending fantasy elements with the real world. Its mysterious atmosphere captivates the audience.,1986-05-27
128,39,144,6.9,Successfully reflects local cultural motifs. The plot tells a story where love and drama intertwine. A thrilling production filled with suspenseful moments. A production that will be remembered in cinema history.,2009-09-23
129,73,135,9.4,A thrilling production filled with suspenseful moments. Notable for its color palette and cinematography. A story blending fantasy elements with the real world.,2023-02-15
130,16,244,1.1,A story blending fantasy elements with the real world. Worth watching for its emotional depth and character development.,1985-08-30
131,234,297,3.5,Offers a unique interpretation of historical events. Elegantly addresses the relationship between nature and humanity.,2025-04-02
132,246,33,2.9,Centers on childhood memories and family bonds. Interpersonal relationships are impressively portrayed. The film takes the audience on a deep adventure. The plot tells a story where love and drama intertwine. A striking film with strong social messages.,1987-10-03
133,222,239,2.6,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine.,2003-07-03
134,33,144,3.5,Amazes viewers with its visual effects. Enriched with cultural elements and historical references. The film takes the audience on a deep adventure. Centers on childhood memories and family bonds. Worth watching for its emotional depth and character development.,2023-12-03
135,230,1,1.4,Focuses on characters with psychological depth. Offers a unique interpretation of historical events. A striking film with strong social messages. Worth watching for its emotional depth and character development. A story blending fantasy elements with the real world.,2023-03-02
136,25,147,1.8,Stands out with excellent music and set design. A striking film with strong social messages. Focuses on characters with psychological depth. Stands out with its original script and captivating storyline.,2018-03-02
137,192,191,6.0,A must-watch for its gripping script and powerful performances. A story blending fantasy elements with the real world. Notable for its color palette and cinematography.,2017-07-30
138,178,209,6.2,Stands out with excellent music and set design. Its mysterious atmosphere captivates the audience. Successfully reflects local cultural motifs. A production that will be remembered in cinema history.,2004-10-21
139,76,254,4.2,Stands out with fast-paced action scenes. Features powerful dialogues and cleverly constructed plot. Enriched with cultural elements and historical references. Aesthetically and artistically successful film. A must-watch for its gripping script and powerful performances.,2023-02-23
140,184,239,7.8,The plot tells a story where love and drama intertwine. A must-watch for its gripping script and powerful performances. Its fast pace and surprising ending astonish viewers.,2017-03-22
141,75,175,8.7,Amazes viewers with its visual effects. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed.,2010-02-25
142,42,215,9.9,Its fast pace and surprising ending astonish viewers. A thrilling production filled with suspenseful moments.,2020-04-03
143,295,3,9.4,A story blending fantasy elements with the real world. Worth watching for its emotional depth and character development. Centers on childhood memories and family bonds.,2009-09-17
144,172,251,3.9,Focuses on characters with psychological depth. Interpersonal relationships are impressively portrayed. Its fast pace and surprising ending astonish viewers. Centers on childhood memories and family bonds.,1980-06-28
145,202,113,4.2,Offers a unique interpretation of historical events. Successfully reflects local cultural motifs. A thrilling production filled with suspenseful moments. Worth watching for its emotional depth and character development. Notable for its color palette and cinematography.,2022-12-10
146,233,80,7.4,A striking film with strong social messages. Aesthetically and artistically successful film.,1996-11-23
147,37,157,7.8,Amazes viewers with its visual effects. Focuses on characters with psychological depth. Notable for its color palette and cinematography. A thrilling production filled with suspenseful moments.,1994-11-06
148,98,13,1.3,Amazes viewers with its visual effects. Stands out with its original script and captivating storyline.,2008-05-12
149,37,35,5.1,Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience.,1995-05-15
150,207,6,6.4,Interpersonal relationships are impressively portrayed. Its mysterious atmosphere captivates the audience. Amazes viewers with its visual effects. A production that will be remembered in cinema history.,2024-11-30
151,220,245,6.5,Centers on childhood memories and family bonds. A striking film with strong social messages.,2024-03-31
152,17,256,4.2,Offers a unique interpretation of historical events. A striking film with strong social messages. Interpersonal relationships are impressively portrayed. Successfully reflects local cultural motifs.,2001-09-04
153,276,51,7.2,Centers on childhood memories and family bonds. A striking film with strong social messages. The film takes the audience on a deep adventure. Interpersonal relationships are impressively portrayed.,2025-05-15
154,20,250,5.3,Stands out with fast-paced action scenes. Worth watching for its emotional depth and character development.,2010-12-13
155,49,233,7.7,Features powerful dialogues and cleverly constructed plot. A striking film with strong social messages. The plot tells a story where love and drama intertwine.,2023-02-17
156,166,159,8.0,Amazes viewers with its visual effects. Features powerful dialogues and cleverly constructed plot. Memorable scenes leave a lasting impact. A thrilling production filled with suspenseful moments. The film takes the audience on a deep adventure.,2023-05-25
157,66,15,5.0,Stands out with excellent music and set design. Enriched with cultural elements and historical references. Offers a unique interpretation of historical events.,2014-09-17
158,290,199,6.9,Enriched with cultural elements and historical references. Elegantly addresses the relationship between nature and humanity.,2022-01-21
159,61,265,2.6,A production that will be remembered in cinema history. Stands out with its original script and captivating storyline. The plot tells a story where love and drama intertwine. Features powerful dialogues and cleverly constructed plot. A must-watch for its gripping script and powerful performances.,2019-01-06
160,219,57,9.7,Amazes viewers with its visual effects. A striking film with strong social messages.,2020-09-26
161,249,128,4.5,Successfully reflects local cultural motifs. Interpersonal relationships are impressively portrayed. The plot tells a story where love and drama intertwine.,1999-04-04
162,155,94,4.1,Worth watching for its emotional depth and character development. Offers a unique interpretation of historical events. Stands out with excellent music and set design. A thrilling production filled with suspenseful moments. Stands out with its original script and captivating storyline.,1997-01-17
163,72,68,6.1,A striking film with strong social messages. Its mysterious atmosphere captivates the audience. Offers a unique interpretation of historical events. Memorable scenes leave a lasting impact. The film takes the audience on a deep adventure.,2024-10-14
164,269,189,5.9,A striking film with strong social messages. The plot tells a story where love and drama intertwine. Enriched with cultural elements and historical references. Memorable scenes leave a lasting impact. Focuses on characters with psychological depth.,2025-02-13
165,217,35,1.8,A striking film with strong social messages. Interpersonal relationships are impressively portrayed. Its fast pace and surprising ending astonish viewers. Worth watching for its emotional depth and character development.,2022-05-14
166,71,62,2.5,Centers on childhood memories and family bonds. Amazes viewers with its visual effects. Stands out with excellent music and set design.,1980-03-01
167,280,192,3.4,Centers on childhood memories and family bonds. Stands out with its original script and captivating storyline.,2020-01-02
168,299,212,6.0,Amazes viewers with its visual effects. Aesthetically and artistically successful film. A production that will be remembered in cinema history.,1991-05-25
169,69,201,4.3,A thrilling production filled with suspenseful moments. Its fast pace and surprising ending astonish viewers.,2009-04-02
170,137,300,1.1,A must-watch for its gripping script and powerful performances. Worth watching for its emotional depth and character development. A striking film with strong social messages.,2025-10-19
171,110,97,5.3,A thrilling production filled with suspenseful moments. Stands out with its original script and captivating storyline. Interpersonal relationships are impressively portrayed.,2024-04-18
172,284,278,2.3,Its fast pace and surprising ending astonish viewers. Aesthetically and artistically successful film. Successfully reflects local cultural motifs.,2010-08-04
173,35,245,9.9,Elegantly addresses the relationship between nature and humanity. Stands out with its original script and captivating storyline.,2024-01-12
174,127,212,9.4,Memorable scenes leave a lasting impact. The plot tells a story where love and drama intertwine. Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances.,2018-03-24
175,203,15,7.0,Interpersonal relationships are impressively portrayed. Stands out with excellent music and set design. Features powerful dialogues and cleverly constructed plot. Worth watching for its emotional depth and character development.,2014-04-27
176,66,246,9.5,Notable for its color palette and cinematography. Successfully reflects local cultural motifs. Stands out with its original script and captivating storyline. Worth watching for its emotional depth and character development. Features powerful dialogues and cleverly constructed plot.,2019-08-01
177,267,148,8.0,Features powerful dialogues and cleverly constructed plot. The film takes the audience on a deep adventure. Memorable scenes leave a lasting impact. Stands out with fast-paced action scenes. Focuses on characters with psychological depth.,2023-08-08
178,44,75,6.8,Enriched with cultural elements and historical references. Interpersonal relationships are impressively portrayed. Stands out with excellent music and set design. Notable for its color palette and cinematography.,2024-05-02
179,175,156,6.4,A striking film with strong social messages. Its fast pace and surprising ending astonish viewers. Interpersonal relationships are impressively portrayed. Successfully reflects local cultural motifs.,2022-01-09
180,287,294,5.2,Offers a unique interpretation of historical events. A striking film with strong social messages.,1996-02-27
181,176,273,6.5,Enriched with cultural elements and historical references. Notable for its color palette and cinematography.,2022-08-06
182,138,139,3.6,A must-watch for its gripping script and powerful performances. Worth watching for its emotional depth and character development. Elegantly addresses the relationship between nature and humanity.,2025-11-27
183,98,179,2.7,Its fast pace and surprising ending astonish viewers. Centers on childhood memories and family bonds. Memorable scenes leave a lasting impact. Enriched with cultural elements and historical references.,2014-11-14
184,136,218,7.9,Successfully reflects local cultural motifs. Offers a unique interpretation of historical events. A production that will be remembered in cinema history.,2008-06-12
185,98,186,5.9,Amazes viewers with its visual effects. Stands out with excellent music and set design. Elegantly addresses the relationship between nature and humanity. Its fast pace and surprising ending astonish viewers.,2023-12-25
186,89,61,6.7,Features powerful dialogues and cleverly constructed plot. Notable for its color palette and cinematography. A must-watch for its gripping script and powerful performances.,2012-01-28
187,94,255,3.2,Offers a unique interpretation of historical events. Enriched with cultural elements and historical references. Elegantly addresses the relationship between nature and humanity. Stands out with excellent music and set design. Focuses on characters with psychological depth.,2012-05-29
188,175,75,6.5,A thrilling production filled with suspenseful moments. Interpersonal relationships are impressively portrayed. Focuses on characters with psychological depth. The film takes the audience on a deep adventure.,1996-11-07
189,35,97,9.4,Focuses on characters with psychological depth. Elegantly addresses the relationship between nature and humanity. Enriched with cultural elements and historical references. Its fast pace and surprising ending astonish viewers. Memorable scenes leave a lasting impact.,2012-06-06
190,102,137,9.8,Features powerful dialogues and cleverly constructed plot. A thrilling production filled with suspenseful moments. A striking film with strong social messages. Memorable scenes leave a lasting impact. Interpersonal relationships are impressively portrayed.,2002-04-15
191,161,62,2.6,Successfully reflects local cultural motifs. The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes. Enriched with cultural elements and historical references.,2023-10-14
192,56,281,3.4,A story blending fantasy elements with the real world. Centers on childhood memories and family bonds.,2016-01-02
193,217,105,9.0,The film takes the audience on a deep adventure. A thrilling production filled with suspenseful moments.,2022-03-23
