MovieID,Title,ReleaseYear,DurationMinutes,Language,Country,Budget,BoxOffice,Description
14,Life Sun Shadow King,2003,116,Turkish,Turkey,278203146.6,700986467.1,Memorable scenes leave a lasting impact. Features powerful dialogues and cleverly constructed plot. Notable for its color palette and cinematography. Enriched with cultural elements and historical references.
15,Soul Night River Path,1987,112,English,USA,196475812.8,444073047.9,Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Stands out with its original script and captivating storyline. A must-watch for its gripping script and powerful performances.
16,Shan Xin Zhan Ling,1970,81,Chinese,China,123669005.6,354149594.2,Amazes viewers with its visual effects. The plot tells a story where love and drama intertwine. The film takes the audience on a deep adventure. Features powerful dialogues and cleverly constructed plot.
17,Queen Battle,1973,156,English,United Kingdom,191605824.1,706323825.9,Interpersonal relationships are impressively portrayed. Centers on childhood memories and family bonds. Successfully reflects local cultural motifs.
18,Regina Eredità Fuoco Notte,2006,169,Italian,Italy,55686766.36,101659465,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds. Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances. Enriched with cultural elements and historical references.
19,Night Fate,2019,179,Turkish,Turkey,19185020.27,43140528.68,Stands out with excellent music and set design. Stands out with fast-paced action scenes. A striking film with strong social messages.
20,Ombre Secret Nuit,2009,162,French,France,147871159.7,169671317,Offers a unique interpretation of historical events. Enriched with cultural elements and historical references. A thrilling production filled with suspenseful moments. The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes.
21,Shadow Whisper Dragon Night,2006,82,English,United Kingdom,269005461.7,314694489.7,Offers a unique interpretation of historical events. A must-watch for its gripping script and powerful performances. Interpersonal relationships are impressively portrayed.
22,Reino Luz,1970,141,Spanish,Spain,131099271.4,563493666.6,Interpersonal relationships are impressively portrayed. Offers a unique interpretation of historical events.
23,Chueok Saebyeok,1977,125,Korean,South Korea,100365194,186952890.9,Its mysterious atmosphere captivates the audience. Focuses on characters with psychological depth.
24,Path Night Fire,1975,162,English,USA,61334581.17,183705634.3,A thrilling production filled with suspenseful moments. Notable for its color palette and cinematography. Offers a unique interpretation of historical events. Its mysterious atmosphere captivates the audience. A striking film with strong social messages.
25,Light Fire Dragon Queen,2010,97,English,United Kingdom,11191637.44,6873240.33,A striking film with strong social messages. Focuses on characters with psychological depth. Stands out with excellent music and set design. The film takes the audience on a deep adventure.
26,Hana Ken,1991,180,Japanese,Japan,216443090.8,503183726.9,Centers on childhood memories and family bonds. Focuses on characters with psychological depth. Aesthetically and artistically successful film. A story blending fantasy elements with the real world. Elegantly addresses the relationship between nature and humanity.
27,Lumière Ombre Cœur Âme,1974,142,French,France,196322542.3,514460937.1,Notable for its color palette and cinematography. The plot tells a story where love and drama intertwine. A production that will be remembered in cinema history.
28,Fire Battle,1999,155,English,United Kingdom,19655305.79,82131990.53,Stands out with fast-paced action scenes. Amazes viewers with its visual effects. Memorable scenes leave a lasting impact.
29,Ghost Night,2021,95,English,USA,292768054.2,905195361.3,Elegantly addresses the relationship between nature and humanity. Stands out with its original script and captivating storyline.
30,Blood Battle Dream,1974,98,English,USA,227386250.8,285649165.9,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine. Aesthetically and artistically successful film.
31,Shadow Whisper,2020,179,English,United Kingdom,47747221.59,212872451.9,Stands out with fast-paced action scenes. Offers a unique interpretation of historical events. Notable for its color palette and cinematography.
32,Reino Fuego Dragón,1988,168,Spanish,Spain,38504279.55,44044867.32,Stands out with its original script and captivating storyline. Features powerful dialogues and cleverly constructed plot. Offers a unique interpretation of historical events.
33,Tabibito Unmei Taiyō,2008,158,Japanese,Japan,285114270.2,947252943.3,Amazes viewers with its visual effects. A thrilling production filled with suspenseful moments. Its fast pace and surprising ending astonish viewers.
34,Light Night Shadow Whisper,2009,144,English,United Kingdom,66173202.03,262475395.3,Aesthetically and artistically successful film. Centers on childhood memories and family bonds.
35,Gidae Haneul Sarang,2001,165,Korean,South Korea,276840575.3,205726948.9,A must-watch for its gripping script and powerful performances. Features powerful dialogues and cleverly constructed plot. Successfully reflects local cultural motifs. Stands out with excellent music and set design.
36,Yoru Ken Senshi Hoshi,1976,102,Japanese,Japan,47834660.4,30173793.49,Memorable scenes leave a lasting impact. Amazes viewers with its visual effects. A story blending fantasy elements with the real world. Centers on childhood memories and family bonds.
37,Light Night,1984,109,English,USA,29870208.07,114100174.2,A striking film with strong social messages. Elegantly addresses the relationship between nature and humanity.
38,Bimil Sarangi Bitnaneun,1973,107,Korean,South Korea,278402191.4,709218147.6,Notable for its color palette and cinematography. Its mysterious atmosphere captivates the audience. Enriched with cultural elements and historical references.
39,Étoile Âme,1991,168,French,France,170815416.9,301099529.1,Stands out with its original script and captivating storyline. Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances. Worth watching for its emotional depth and character development. A production that will be remembered in cinema history.
40,Dragón Reino,1980,153,Spanish,Spain,291055684.7,1265369857,Amazes viewers with its visual effects. Elegantly addresses the relationship between nature and humanity. A striking film with strong social messages. Stands out with excellent music and set design. Enriched with cultural elements and historical references.
41,Kaze Tsuki Taiyō Unmei,2016,111,Japanese,Japan,98525136.23,306176874.5,The plot tells a story where love and drama intertwine. A striking film with strong social messages.
42,Reina Fuego Legado Luz,2019,134,Spanish,Mexico,159570957,423934080.6,Focuses on characters with psychological depth. Successfully reflects local cultural motifs.
43,Taiyō Hoshi,2014,96,Japanese,Japan,107842501.7,169936141.6,Stands out with its original script and captivating storyline. Offers a unique interpretation of historical events. Stands out with excellent music and set design. Elegantly addresses the relationship between nature and humanity.
44,Tormenta Secreto Fuego,2007,139,Spanish,Mexico,231664584.8,1027176600,Notable for its color palette and cinematography. Stands out with fast-paced action scenes.
45,Pyar Khwaab Jeevan Dosti,2014,84,Hindi,India,89328699.37,347309630.2,Features powerful dialogues and cleverly constructed plot. A must-watch for its gripping script and powerful performances.
46,Sombra Secreto Legado Tormenta,1973,86,Spanish,Mexico,33734479.85,72365818.52,Focuses on characters with psychological depth. Offers a unique interpretation of historical events.
47,Âme Ombre Liberté Feu,1978,149,French,France,34510524.81,91564035.09,Enriched with cultural elements and historical references. Its fast pace and surprising ending astonish viewers. Centers on childhood memories and family bonds. Memorable scenes leave a lasting impact.
48,Traum Blut,1973,124,German,Germany,135996989.5,374879159.9,Stands out with excellent music and set design. Features powerful dialogues and cleverly constructed plot. Its mysterious atmosphere captivates the audience. Centers on childhood memories and family bonds.
49,Noche Reina,2021,138,Spanish,Mexico,26648970.67,60175274.85,Stands out with its original script and captivating storyline. Enriched with cultural elements and historical references.
50,Shadow Night Dragon Kingdom,2014,99,English,United Kingdom,262560445.3,746484125.7,A striking film with strong social messages. Its mysterious atmosphere captivates the audience. Memorable scenes leave a lasting impact.
51,Hearts Chueok,2017,104,Korean,South Korea,19353377.82,85601376.83,Memorable scenes leave a lasting impact. Elegantly addresses the relationship between nature and humanity. A must-watch for its gripping script and powerful performances. Notable for its color palette and cinematography.
52,Fuoco Sussurro Notte Tempesta,2020,155,Italian,Italy,199923676.1,576929355.3,Stands out with its original script and captivating storyline. Enriched with cultural elements and historical references. Worth watching for its emotional depth and character development. A striking film with strong social messages.
53,Battle Blood Fire Soul,1988,125,English,USA,85672419.11,411481403.4,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds. Aesthetically and artistically successful film.
54,Road Love Sun,1985,120,Turkish,Turkey,172570288.7,428664402.1,Centers on childhood memories and family bonds. A must-watch for its gripping script and powerful performances.
55,Shadow Light,1979,149,English,USA,292651970.8,849098469.8,Successfully reflects local cultural motifs. Aesthetically and artistically successful film. Stands out with excellent music and set design. A must-watch for its gripping script and powerful performances. The film takes the audience on a deep adventure.
56,Batalla Legado Tormenta,2004,162,Spanish,Mexico,211782681.3,557538669.9,A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events. A thrilling production filled with suspenseful moments. A story blending fantasy elements with the real world. A striking film with strong social messages.
57,Hoshi Tabibito,1978,119,Japanese,Japan,7926280.65,25989077.12,A must-watch for its gripping script and powerful performances. The plot tells a story where love and drama intertwine.
58,Luz Sombras Reina,2011,147,Spanish,Spain,67032085.18,315754157.6,Centers on childhood memories and family bonds. Stands out with fast-paced action scenes. Its fast pace and surprising ending astonish viewers. Interpersonal relationships are impressively portrayed. Amazes viewers with its visual effects.
59,Sarang Sarangi Saebyeok,1990,145,Korean,South Korea,283048948.2,1298631766,Interpersonal relationships are impressively portrayed. Its mysterious atmosphere captivates the audience. The film takes the audience on a deep adventure. A production that will be remembered in cinema history.
60,Soul Light Dream,1992,151,English,USA,26735789.96,100936700.1,Stands out with its original script and captivating storyline. A story blending fantasy elements with the real world. Memorable scenes leave a lasting impact. Aesthetically and artistically successful film.
61,Secreto Reina Batalla Dragón,2008,106,Spanish,Spain,91317725.99,451814623.8,The film takes the audience on a deep adventure. Memorable scenes leave a lasting impact.
62,Luce Tempesta,1987,151,Italian,Italy,138904929.4,424441160.9,A production that will be remembered in cinema history. Focuses on characters with psychological depth. A striking film with strong social messages. The plot tells a story where love and drama intertwine. Elegantly addresses the relationship between nature and humanity.
63,Feuer Weg Traum,2001,108,German,Germany,8538584.4,4363302.33,Notable for its color palette and cinematography. Centers on childhood memories and family bonds.
64,Traum König Fluss,1996,168,German,Germany,193613360.8,121587570.4,Elegantly addresses the relationship between nature and humanity. A striking film with strong social messages. Memorable scenes leave a lasting impact. Enriched with cultural elements and historical references.
65,Tempesta Battaglia Ombra,2013,127,Italian,Italy,154001497.9,475662361.3,A must-watch for its gripping script and powerful performances. Stands out with excellent music and set design. Offers a unique interpretation of historical events.
66,Shadow Night Silence,1992,114,Turkish,Turkey,108668452.7,365464188.9,Its fast pace and surprising ending astonish viewers. Amazes viewers with its visual effects.
67,Eredità Notte Sussurro,1981,176,Italian,Italy,50557208.25,98674064.19,A thrilling production filled with suspenseful moments. Focuses on characters with psychological depth. Elegantly addresses the relationship between nature and humanity. Its mysterious atmosphere captivates the audience.
68,Road King Love,1970,116,Turkish,Turkey,112217751.4,300973127.7,Its fast pace and surprising ending astonish viewers. Worth watching for its emotional depth and character development. Amazes viewers with its visual effects.
69,Qing Shan,2009,171,Chinese,China,165558292.1,646236983.6,A thrilling production filled with suspenseful moments. Aesthetically and artistically successful film.
70,Shizukesa Tabibito Kaze Yūrei,2000,168,Japanese,Japan,109089285.4,455630400.2,A story blending fantasy elements with the real world. A thrilling production filled with suspenseful moments.
71,Sang Nuit,1978,119,French,France,38040582.25,41311392.76,The film takes the audience on a deep adventure. Successfully reflects local cultural motifs.
72,Uri Baram Bitnaneun Bam,2018,105,Korean,South Korea,32791305.87,133419570.6,The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes. A production that will be remembered in cinema history. Centers on childhood memories and family bonds.
73,Hana Tabibito,2018,157,Japanese,Japan,62017655.37,282508213.2,Stands out with fast-paced action scenes. Aesthetically and artistically successful film.
74,Batalla Luz Reino Reina,1987,125,Spanish,Mexico,48586922.14,133752745.2,Elegantly addresses the relationship between nature and humanity. Successfully reflects local cultural motifs.
75,Ken Yoru,2003,116,Japanese,Japan,51946152.1,202230547.6,Its fast pace and surprising ending astonish viewers. Offers a unique interpretation of historical events. A striking film with strong social messages.
76,Light Soul Night,2014,136,English,USA,202220946.6,198775156.5,Memorable scenes leave a lasting impact. A thrilling production filled with suspenseful moments. Successfully reflects local cultural motifs.
77,Fire Blood Shadow King,1977,146,English,USA,41205754.79,161948157.8,A striking film with strong social messages. A thrilling production filled with suspenseful moments. Interpersonal relationships are impressively portrayed. A production that will be remembered in cinema history.
78,Haneul Bam Bitnaneun,2008,108,Korean,South Korea,166397809.4,300789326.7,Stands out with its original script and captivating storyline. The film takes the audience on a deep adventure. Centers on childhood memories and family bonds. A striking film with strong social messages.
79,Drago Sussurro,1976,146,Italian,Italy,197735204.9,174506577.1,A story blending fantasy elements with the real world. Stands out with its original script and captivating storyline.
80,Light Dragon,1993,105,English,United Kingdom,178690768.6,885944530.2,Enriched with cultural elements and historical references. Successfully reflects local cultural motifs. Offers a unique interpretation of historical events. Elegantly addresses the relationship between nature and humanity. Notable for its color palette and cinematography.
81,Safar Raat,1992,131,Hindi,India,296263198.9,829941450.4,Enriched with cultural elements and historical references. A striking film with strong social messages.
82,Chueok Baram Sarangi,1984,92,Korean,South Korea,221470607.6,938239435,Features powerful dialogues and cleverly constructed plot. Centers on childhood memories and family bonds. A must-watch for its gripping script and powerful performances. Aesthetically and artistically successful film. A production that will be remembered in cinema history.
83,Luz Noche Fuego,2009,164,Spanish,Spain,225607119.1,892067354,Its fast pace and surprising ending astonish viewers. Enriched with cultural elements and historical references. Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances. The film takes the audience on a deep adventure.
84,Taiyō Ken Kaze,1997,137,Japanese,Japan,94710479.75,207748813.8,Offers a unique interpretation of historical events. Stands out with its original script and captivating storyline. A striking film with strong social messages. Memorable scenes leave a lasting impact.
85,Sun Silence Fate Dream,1989,177,Turkish,Turkey,33259906.87,117660599.5,Focuses on characters with psychological depth. Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers. The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.
86,Geist Schatten Weg,2001,158,German,Germany,203108091.2,802097911.1,Aesthetically and artistically successful film. Its mysterious atmosphere captivates the audience.
87,Light Ghost,2021,177,English,USA,267457195.7,544450406.6,Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience. The plot tells a story where love and drama intertwine. Centers on childhood memories and family bonds.
88,Nuit Feu Cœur,1985,155,French,France,25940050.14,93279400.31,Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances.
89,Hoshi Tsuki Taiyō Tabibito,1999,145,Japanese,Japan,270472248.6,459744666.7,Elegantly addresses the relationship between nature and humanity. Interpersonal relationships are impressively portrayed. A must-watch for its gripping script and powerful performances. A thrilling production filled with suspenseful moments. A striking film with strong social messages.
90,Storm Battle Night,2014,143,English,United Kingdom,151079172.5,595564303.8,Memorable scenes leave a lasting impact. Amazes viewers with its visual effects. A striking film with strong social messages. Notable for its color palette and cinematography.
91,Dragon Light Battle Queen,2023,116,English,United Kingdom,79913952.36,146877146.3,Elegantly addresses the relationship between nature and humanity. A must-watch for its gripping script and powerful performances.
92,Weg Feuer,1974,140,German,Germany,128418214.1,264917040.6,Memorable scenes leave a lasting impact. Centers on childhood memories and family bonds. Focuses on characters with psychological depth. A must-watch for its gripping script and powerful performances.
93,Cœur Lumière Voix Âme,1996,159,French,France,154853085.1,545395835.9,Amazes viewers with its visual effects. Centers on childhood memories and family bonds. A story blending fantasy elements with the real world. Stands out with excellent music and set design. Enriched with cultural elements and historical references.
94,Segreto Fuoco,2004,152,Italian,Italy,218121213,167837179.2,Worth watching for its emotional depth and character development. Aesthetically and artistically successful film. A story blending fantasy elements with the real world.
95,Eredità Luce,2018,132,Italian,Italy,95936627.46,406384168.6,Enriched with cultural elements and historical references. A production that will be remembered in cinema history. Notable for its color palette and cinematography. Stands out with its original script and captivating storyline. Centers on childhood memories and family bonds.
96,Fuego Susurro Reino,1985,94,Spanish,Spain,45413693.23,28368516.41,Memorable scenes leave a lasting impact. Notable for its color palette and cinematography. The plot tells a story where love and drama intertwine. Amazes viewers with its visual effects. Stands out with its original script and captivating storyline.
97,Seele Traum,1978,115,German,Germany,197771878.4,255508114.8,The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes.
98,Light Battle,2008,132,English,USA,269083586.6,947853480.8,A thrilling production filled with suspenseful moments. Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world.
99,Zhan Tian,1977,179,Chinese,China,279500909.8,456463071.3,Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances.
100,Battle King,2023,175,English,USA,223315712.8,1051761275,Amazes viewers with its visual effects. Enriched with cultural elements and historical references. Stands out with excellent music and set design.
101,Zindagi Khwaab,1986,142,Hindi,India,160274256.1,584725327.4,A striking film with strong social messages. Centers on childhood memories and family bonds. Worth watching for its emotional depth and character development. Enriched with cultural elements and historical references. Aesthetically and artistically successful film.
102,Soul Path,2000,82,English,USA,193796577.7,886334935.2,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds.
103,Nuit Voix Ombre Étoile,1986,119,French,France,191865243.1,700840680.1,The film takes the audience on a deep adventure. Interpersonal relationships are impressively portrayed. Enriched with cultural elements and historical references. A production that will be remembered in cinema history. Stands out with fast-paced action scenes.
104,Sang Lumière Rêve Nuit,1989,136,French,France,189590134.5,845117478.9,A striking film with strong social messages. A story blending fantasy elements with the real world. Memorable scenes leave a lasting impact. A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events.
105,Pyar Khwaab Zindagi,2022,169,Hindi,India,78660537.38,62822438.97,Offers a unique interpretation of historical events. The film takes the audience on a deep adventure. Successfully reflects local cultural motifs. The plot tells a story where love and drama intertwine. Notable for its color palette and cinematography.
106,Battaglia Regina Eredità,1981,80,Italian,Italy,120498224.1,400937745.1,Worth watching for its emotional depth and character development. Its fast pace and surprising ending astonish viewers. Offers a unique interpretation of historical events.
107,Fuoco Tempesta Notte,2018,167,Italian,Italy,123389703.4,583310262.3,Centers on childhood memories and family bonds. Elegantly addresses the relationship between nature and humanity. A must-watch for its gripping script and powerful performances.
108,Nacht Schatten Weg Blut,1982,127,German,Germany,54975831.51,244299129.4,Stands out with fast-paced action scenes. Stands out with excellent music and set design. Amazes viewers with its visual effects.
109,König Geist,2014,131,German,Germany,185592212.9,594223076.3,Elegantly addresses the relationship between nature and humanity. A thrilling production filled with suspenseful moments. The film takes the audience on a deep adventure.
110,Luz Noche,2003,166,Spanish,Mexico,148497634.5,224257827.2,A story blending fantasy elements with the real world. A striking film with strong social messages. Interpersonal relationships are impressively portrayed. Aesthetically and artistically successful film.
111,Prem Sapna,1983,116,Hindi,India,218149066.1,294966826.9,A production that will be remembered in cinema history. Enriched with cultural elements and historical references.
112,Lumière Étoile,2009,127,French,France,175079471.7,597469211.9,A must-watch for its gripping script and powerful performances. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed.
113,Ombra Sussurro Segreto Luce,1983,174,Italian,Italy,179360184.1,148644803.1,Its mysterious atmosphere captivates the audience. Features powerful dialogues and cleverly constructed plot. Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. A story blending fantasy elements with the real world.
114,Tabibito Kaze Shizukesa Taiyō,1970,159,Japanese,Japan,114590833.8,561364157.7,Enriched with cultural elements and historical references. Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers.
115,Gidae Bam,1991,91,Korean,South Korea,95536557.34,275805166.1,The plot tells a story where love and drama intertwine. Aesthetically and artistically successful film. A striking film with strong social messages. Enriched with cultural elements and historical references.
116,Reino Secreto Dragón,1993,113,Spanish,Mexico,184073005.4,722861619.8,A must-watch for its gripping script and powerful performances. A story blending fantasy elements with the real world. A striking film with strong social messages.
117,Dream Night,2005,104,Turkish,Turkey,45011931.71,69065068.16,Offers a unique interpretation of historical events. Stands out with excellent music and set design. Memorable scenes leave a lasting impact.
118,Fire Queen Storm,2001,125,English,United Kingdom,296651165.8,897027246.1,Its mysterious atmosphere captivates the audience. Stands out with fast-paced action scenes.
119,Secret Ombre Âme Lumière,1988,175,French,France,152866960.3,264087150.4,Memorable scenes leave a lasting impact. Stands out with fast-paced action scenes. Worth watching for its emotional depth and character development.
120,Sarang Bimil,2013,83,Korean,South Korea,85642234.81,421017666.4,A must-watch for its gripping script and powerful performances. Aesthetically and artistically successful film.
121,Taiyō Tabibito Ken Hoshi,1975,138,Japanese,Japan,188692843.5,323029498.5,A story blending fantasy elements with the real world. Elegantly addresses the relationship between nature and humanity. Aesthetically and artistically successful film. Amazes viewers with its visual effects.
122,Unmei Yoru Ken Yūrei,2021,87,Japanese,Japan,223268097.7,661365428.5,Worth watching for its emotional depth and character development. Successfully reflects local cultural motifs. Interpersonal relationships are impressively portrayed.
123,Storm Queen Night Fire,1971,129,English,United Kingdom,233958017.3,416962669,A story blending fantasy elements with the real world. A production that will be remembered in cinema history. Centers on childhood memories and family bonds. Features powerful dialogues and cleverly constructed plot. Aesthetically and artistically successful film.
124,Dream Fire River,2012,145,English,USA,60361442.55,151174681.6,Stands out with fast-paced action scenes. Successfully reflects local cultural motifs. Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience. Features powerful dialogues and cleverly constructed plot.
125,Love Silence Road Dream,1997,85,Turkish,Turkey,154245767,752676625.9,A production that will be remembered in cinema history. Stands out with excellent music and set design.
126,Dosti Khwaab Prem,1975,99,Hindi,India,295263776.8,1056870918,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine. Focuses on characters with psychological depth. Stands out with fast-paced action scenes.
127,Tsuki Yūrei Tabibito Hana,2002,134,Japanese,Japan,124199311.7,321794729.9,Successfully reflects local cultural motifs. Its fast pace and surprising ending astonish viewers.
128,Unmei Yūrei,1977,180,Japanese,Japan,55071336.3,124918753.7,Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world. Stands out with excellent music and set design. Successfully reflects local cultural motifs.
129,Luce Tempesta,1998,123,Italian,Italy,290032528.2,1282248797,A story blending fantasy elements with the real world. Features powerful dialogues and cleverly constructed plot.
130,Kampf Weg,2013,148,German,Germany,5865608.12,13357176.26,Stands out with excellent music and set design. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed. Centers on childhood memories and family bonds. A story blending fantasy elements with the real world.
131,Legado Susurro Dragón Noche,2016,159,Spanish,Spain,244033177.6,799294487.9,Aesthetically and artistically successful film. The film takes the audience on a deep adventure.
132,Ombre Sang Voix Âme,1977,83,French,France,63164229.36,215946151.4,A production that will be remembered in cinema history. Successfully reflects local cultural motifs.
133,Saebyeok Bitnaneun Chueok Uri,1979,82,Korean,South Korea,35379416.46,161360884.3,Stands out with excellent music and set design. Elegantly addresses the relationship between nature and humanity.
134,Âme Sang Liberté Étoile,1982,130,French,France,15751192.98,8433728.43,The plot tells a story where love and drama intertwine. A striking film with strong social messages. Interpersonal relationships are impressively portrayed. Its fast pace and surprising ending astonish viewers.
135,Batalla Secreto Reino,2016,109,Spanish,Spain,214429953.5,616998526.7,Enriched with cultural elements and historical references. Notable for its color palette and cinematography.
136,Prem Dil Sapna Aag,2000,159,Hindi,India,281719860.6,580466449.8,A striking film with strong social messages. Its mysterious atmosphere captivates the audience. Stands out with excellent music and set design.
137,Liberté Étoile Cœur Rêve,2002,167,French,France,102076323.1,327608916.1,Memorable scenes leave a lasting impact. Centers on childhood memories and family bonds. Notable for its color palette and cinematography. A story blending fantasy elements with the real world. Its mysterious atmosphere captivates the audience.
138,Bitnaneun Sarangi Chueok Haneul,2021,106,Korean,South Korea,85095935.97,329461200.4,Features powerful dialogues and cleverly constructed plot. A striking film with strong social messages. A thrilling production filled with suspenseful moments.
139,Aag Zindagi Sapna,2001,106,Hindi,India,167270738,835797599,Its fast pace and surprising ending astonish viewers. The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes.
140,Ghost Soul Shadow,1997,109,English,USA,36646065.83,55278038.8,Aesthetically and artistically successful film. Offers a unique interpretation of historical events. Its fast pace and surprising ending astonish viewers. Features powerful dialogues and cleverly constructed plot.
141,Battaglia Sussurro,1976,138,Italian,Italy,288812809.2,1126641299,Focuses on characters with psychological depth. The plot tells a story where love and drama intertwine.
142,Long Shan Hua,1976,106,Chinese,China,273340238.3,329825031.8,A story blending fantasy elements with the real world. A thrilling production filled with suspenseful moments. Aesthetically and artistically successful film. Notable for its color palette and cinematography. Its mysterious atmosphere captivates the audience.
143,Night Dream,2022,105,English,USA,132012984,312986187.7,A production that will be remembered in cinema history. Its fast pace and surprising ending astonish viewers. Stands out with its original script and captivating storyline. Stands out with fast-paced action scenes.
144,Licht Nacht Kampf Seele,1993,160,German,Germany,199666078.9,236055314.6,Memorable scenes leave a lasting impact. Stands out with excellent music and set design. Its fast pace and surprising ending astonish viewers. Centers on childhood memories and family bonds. Its mysterious atmosphere captivates the audience.
145,Tabibito Ken,1998,171,Japanese,Japan,241970936.3,1148489105,Successfully reflects local cultural motifs. Stands out with its original script and captivating storyline. Memorable scenes leave a lasting impact. The plot tells a story where love and drama intertwine. Interpersonal relationships are impressively portrayed.
146,Shizukesa Yūrei Unmei Tsuki,2012,87,Japanese,Japan,293331026.3,1440317477,A story blending fantasy elements with the real world. A must-watch for its gripping script and powerful performances. Its mysterious atmosphere captivates the audience. The film takes the audience on a deep adventure.
147,Fluss Seele Traum Geist,2003,169,German,Germany,121479452.9,412721225.8,Successfully reflects local cultural motifs. Amazes viewers with its visual effects. A production that will be remembered in cinema history. Stands out with fast-paced action scenes. The plot tells a story where love and drama intertwine.
148,Hua Long,1991,146,Chinese,China,297581228.9,529002820.4,Its fast pace and surprising ending astonish viewers. A must-watch for its gripping script and powerful performances. Successfully reflects local cultural motifs. Notable for its color palette and cinematography.
149,Fate Hopeless Sun,1971,155,Turkish,Turkey,77977708.97,331017748.2,A story blending fantasy elements with the real world. The plot tells a story where love and drama intertwine.
150,Dream Fire,1986,95,English,USA,14795995.44,50740364.17,Stands out with excellent music and set design. A must-watch for its gripping script and powerful performances.
151,Secret Ombre Feu Rêve,2021,171,French,France,268354499.9,892238347.2,Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Elegantly addresses the relationship between nature and humanity. Aesthetically and artistically successful film.
